id,title,type,category,price,currency,location,beds,baths,area_sqm,thumbnail,images,featured,short_desc,long_desc,amenities,agent_name,agent_phone,status
1,Luxury Villa in The Pearl WW,villa,Villa,5000,USD,"The Pearl, Doha",5,6,450,https://albadri-demo.s3.us-east-1.amazonaws.com/assets/props-imgs/prop-id-1/main.jpg,,FALSE,Test,"This stunning villa in The Pearl offers the finest in luxury living. With spacious interiors, a private swimming pool, and breathtaking views of the Arabian Gulf, this property is perfect for families seeking an exclusive lifestyle. The villa is finished with high-end materials and features a modern kitchen, large bedrooms with en-suite bathrooms, and a private landscaped garden.","Pool, Gym, Private Parking, Sea View",System,+974 3333 9876,Active
2,Modern Apartment in Lusail,rent,Apartment,12000,QAR/mo,Lusail City,2,3,120,assets/props-imgs/prop-id-2/main.jpg,"assets/props-imgs/prop-id-2/gallery2.jpg, assets/props-imgs/prop-id-2/gallery1.jpg, assets/props-imgs/prop-id-2/gallery3.jpg",TRUE,A sleek and modern apartment in the heart of Lusail.,"Located in the rapidly growing Lusail City, this modern two-bedroom apartment offers urban living at its best. The unit features floor-to-ceiling windows, a contemporary open-plan layout, and a private balcony. Residents enjoy access to premium building facilities including a shared gym and covered parking. Perfect for professionals looking for a stylish home close to business hubs.","Concierge, Shared Gym, Covered Parking",Sarah Jones,+974 3333 9876,Deleted
3,Commercial Office in West Bay,rent,Commercial,25000,QAR/mo,"West Bay, Doha",0,2,200,assets/props-imgs/prop-id-3/main.jpg,"assets/props-imgs/prop-id-3/gallery3.jpg, assets/props-imgs/prop-id-3/gallery1.jpg, assets/props-imgs/prop-id-3/gallery2.jpg",FALSE,Premium office space in a high-rise tower in West Bay.,"This fully fitted commercial office space is located in a prestigious high-rise tower in the heart of West Bay, Doha's primary business district. With panoramic city views and 200 sqm of flexible workspace, it is ready for immediate move-in. The building offers 24/7 security, high-speed internet, and shared meeting rooms. An ideal location for established firms or growing businesses.","24/7 Security, High Speed Internet, Meeting Rooms",Mohammed Ali,+974 6666 4567,Deleted
4,Seaside Penthouse,sale,Apartment,3500000,QAR,Viva Bahriya,3,4,280,assets/props-imgs/prop-id-4/main.jpg,"assets/props-imgs/prop-id-4/gallery1.jpg, assets/props-imgs/prop-id-4/gallery2.jpg, assets/props-imgs/prop-id-4/gallery3.jpg",TRUE,Exclusive penthouse with direct beach access.,"Indulge in coastal luxury with this exclusive seaside penthouse in Viva Bahriya. The property features an expansive terrace with direct views of the ocean, a private elevator for ultimate privacy, and a state-of-the-art smart home system. With direct beach access and high-end finishes throughout, this penthouse represents a unique investment opportunity in one of Qatar's most sought-after locations.","Beach Access, Private Elevator, Smart Home System",Layla Hassan,+974 7777 2345,Deleted
5,Cozy Studio,rent,Apartment,6000,QAR/mo,Al Sadd,1,1,60,assets/props-imgs/prop-id-5/main.jpg,"assets/props-imgs/prop-id-5/gallery2.jpg, assets/props-imgs/prop-id-5/gallery1.jpg, assets/props-imgs/prop-id-5/gallery3.jpg",FALSE,Affordable and centrally located studio apartment.,"This cozy studio apartment in Al Sadd offers exceptional convenience and value. Located just minutes away from the metro station and major shopping malls, it is perfect for single occupants or young professionals. The apartment comes with maintenance included and provides easy access to all the amenities of central Doha. A compact yet comfortable living space in a vibrant neighborhood.","Metro Access, Maintenance Included",John Smith,+974 4444 1111,Active
6,Spacious Villa Compound,rent,Villa,18000,QAR/mo,Al Waab,4,5,350,assets/props-imgs/prop-id-6/main.jpg,"assets/props-imgs/prop-id-6/gallery1.jpg, assets/props-imgs/prop-id-6/gallery2.jpg, assets/props-imgs/prop-id-6/gallery3.jpg",TRUE,Family-friendly villa in a secure compound with excellent facilities.,"Perfect for families, this spacious four-bedroom villa is situated in a highly secure and peaceful compound in Al Waab. The property features large living areas, a private backyard, and access to top-notch compound facilities including a clubhouse, tennis courts, and dedicated play areas for children. Close to international schools and parks, this home offers a safe and engaging environment for kids.","Clubhouse, Tennis Court, Kids Play Area",Fatima Khalid,+974 5050 6789,Active
7,Luxury Villa in The Pearl,sale,Villa,5000000,QAR,"The Pearl, Doha",5,6,450,assets/props-imgs/prop-id-1/main.jpg,"assets/props-imgs/prop-id-1/gallery1.jpg, assets/props-imgs/prop-id-1/gallery2.jpg, assets/props-imgs/prop-id-1/gallery3.jpg",TRUE,Experience the epitome of luxury living in this stunning villa located in The Pearl.,"This stunning villa in The Pearl offers the finest in luxury living. With spacious interiors, a private swimming pool, and breathtaking views of the Arabian Gulf, this property is perfect for families seeking an exclusive lifestyle. The villa is finished with high-end materials and features a modern kitchen, large bedrooms with en-suite bathrooms, and a private landscaped garden.","Pool, Gym, Private Parking, Sea View",Ahmed Al-Saeed,+974 5555 1234,Active
8,Modern Apartment in Lusail,rent,Apartment,12000,QAR/mo,Lusail City,2,3,120,assets/props-imgs/prop-id-2/main.jpg,"assets/props-imgs/prop-id-2/gallery2.jpg, assets/props-imgs/prop-id-2/gallery1.jpg, assets/props-imgs/prop-id-2/gallery3.jpg",TRUE,A sleek and modern apartment in the heart of Lusail.,"Located in the rapidly growing Lusail City, this modern two-bedroom apartment offers urban living at its best. The unit features floor-to-ceiling windows, a contemporary open-plan layout, and a private balcony. Residents enjoy access to premium building facilities including a shared gym and covered parking. Perfect for professionals looking for a stylish home close to business hubs.","Concierge, Shared Gym, Covered Parking",Sarah Jones,+974 3333 9876,Active
9,Commercial Office in West Bay,rent,Commercial,25000,QAR/mo,"West Bay, Doha",0,2,200,assets/props-imgs/prop-id-3/main.jpg,"assets/props-imgs/prop-id-3/gallery3.jpg, assets/props-imgs/prop-id-3/gallery1.jpg, assets/props-imgs/prop-id-3/gallery2.jpg",FALSE,Premium office space in a high-rise tower in West Bay.,"This fully fitted commercial office space is located in a prestigious high-rise tower in the heart of West Bay, Doha's primary business district. With panoramic city views and 200 sqm of flexible workspace, it is ready for immediate move-in. The building offers 24/7 security, high-speed internet, and shared meeting rooms. An ideal location for established firms or growing businesses.","24/7 Security, High Speed Internet, Meeting Rooms",Mohammed Ali,+974 6666 4567,Active
10,Seaside Penthouse,sale,Apartment,3500000,QAR,Viva Bahriya,3,4,280,assets/props-imgs/prop-id-4/main.jpg,"assets/props-imgs/prop-id-4/gallery1.jpg, assets/props-imgs/prop-id-4/gallery2.jpg, assets/props-imgs/prop-id-4/gallery3.jpg",TRUE,Exclusive penthouse with direct beach access.,"Indulge in coastal luxury with this exclusive seaside penthouse in Viva Bahriya. The property features an expansive terrace with direct views of the ocean, a private elevator for ultimate privacy, and a state-of-the-art smart home system. With direct beach access and high-end finishes throughout, this penthouse represents a unique investment opportunity in one of Qatar's most sought-after locations.","Beach Access, Private Elevator, Smart Home System",Layla Hassan,+974 7777 2345,Active
11,Cozy Studio,rent,Apartment,6000,QAR/mo,Al Sadd,1,1,60,assets/props-imgs/prop-id-5/main.jpg,"assets/props-imgs/prop-id-5/gallery2.jpg, assets/props-imgs/prop-id-5/gallery1.jpg, assets/props-imgs/prop-id-5/gallery3.jpg",FALSE,Affordable and centrally located studio apartment.,"This cozy studio apartment in Al Sadd offers exceptional convenience and value. Located just minutes away from the metro station and major shopping malls, it is perfect for single occupants or young professionals. The apartment comes with maintenance included and provides easy access to all the amenities of central Doha. A compact yet comfortable living space in a vibrant neighborhood.","Metro Access, Maintenance Included",John Smith,+974 4444 1111,Active
12,Spacious Villa Compound,rent,Villa,18000,QAR/mo,Al Waab,4,5,350,assets/props-imgs/prop-id-6/main.jpg,"assets/props-imgs/prop-id-6/gallery1.jpg, assets/props-imgs/prop-id-6/gallery2.jpg, assets/props-imgs/prop-id-6/gallery3.jpg",TRUE,Family-friendly villa in a secure compound with excellent facilities.,"Perfect for families, this spacious four-bedroom villa is situated in a highly secure and peaceful compound in Al Waab. The property features large living areas, a private backyard, and access to top-notch compound facilities including a clubhouse, tennis courts, and dedicated play areas for children. Close to international schools and parks, this home offers a safe and engaging environment for kids.","Clubhouse, Tennis Court, Kids Play Area",Fatima Khalid,+974 5050 6789,Active
13,Luxury Villa in The Pearl,sale,Villa,5000000,QAR,"The Pearl, Doha",5,6,450,assets/props-imgs/prop-id-1/main.jpg,"assets/props-imgs/prop-id-1/gallery1.jpg, assets/props-imgs/prop-id-1/gallery2.jpg, assets/props-imgs/prop-id-1/gallery3.jpg",TRUE,Experience the epitome of luxury living in this stunning villa located in The Pearl.,"This stunning villa in The Pearl offers the finest in luxury living. With spacious interiors, a private swimming pool, and breathtaking views of the Arabian Gulf, this property is perfect for families seeking an exclusive lifestyle. The villa is finished with high-end materials and features a modern kitchen, large bedrooms with en-suite bathrooms, and a private landscaped garden.","Pool, Gym, Private Parking, Sea View",Ahmed Al-Saeed,+974 5555 1234,Active
14,Modern Apartment in Lusail,rent,Apartment,12000,QAR/mo,Lusail City,2,3,120,assets/props-imgs/prop-id-2/main.jpg,"assets/props-imgs/prop-id-2/gallery2.jpg, assets/props-imgs/prop-id-2/gallery1.jpg, assets/props-imgs/prop-id-2/gallery3.jpg",TRUE,A sleek and modern apartment in the heart of Lusail.,"Located in the rapidly growing Lusail City, this modern two-bedroom apartment offers urban living at its best. The unit features floor-to-ceiling windows, a contemporary open-plan layout, and a private balcony. Residents enjoy access to premium building facilities including a shared gym and covered parking. Perfect for professionals looking for a stylish home close to business hubs.","Concierge, Shared Gym, Covered Parking",Sarah Jones,+974 3333 9876,Active
15,Commercial Office in West Bay,rent,Commercial,25000,QAR/mo,"West Bay, Doha",0,2,200,assets/props-imgs/prop-id-3/main.jpg,"assets/props-imgs/prop-id-3/gallery3.jpg, assets/props-imgs/prop-id-3/gallery1.jpg, assets/props-imgs/prop-id-3/gallery2.jpg",FALSE,Premium office space in a high-rise tower in West Bay.,"This fully fitted commercial office space is located in a prestigious high-rise tower in the heart of West Bay, Doha's primary business district. With panoramic city views and 200 sqm of flexible workspace, it is ready for immediate move-in. The building offers 24/7 security, high-speed internet, and shared meeting rooms. An ideal location for established firms or growing businesses.","24/7 Security, High Speed Internet, Meeting Rooms",Mohammed Ali,+974 6666 4567,Active
16,Seaside Penthouse,sale,Apartment,3500000,QAR,Viva Bahriya,3,4,280,assets/props-imgs/prop-id-4/main.jpg,"assets/props-imgs/prop-id-4/gallery1.jpg, assets/props-imgs/prop-id-4/gallery2.jpg, assets/props-imgs/prop-id-4/gallery3.jpg",TRUE,Exclusive penthouse with direct beach access.,"Indulge in coastal luxury with this exclusive seaside penthouse in Viva Bahriya. The property features an expansive terrace with direct views of the ocean, a private elevator for ultimate privacy, and a state-of-the-art smart home system. With direct beach access and high-end finishes throughout, this penthouse represents a unique investment opportunity in one of Qatar's most sought-after locations.","Beach Access, Private Elevator, Smart Home System",Layla Hassan,+974 7777 2345,Active
17,Cozy Studio,rent,Apartment,6000,QAR/mo,Al Sadd,1,1,60,assets/props-imgs/prop-id-5/main.jpg,"assets/props-imgs/prop-id-5/gallery2.jpg, assets/props-imgs/prop-id-5/gallery1.jpg, assets/props-imgs/prop-id-5/gallery3.jpg",FALSE,Affordable and centrally located studio apartment.,"This cozy studio apartment in Al Sadd offers exceptional convenience and value. Located just minutes away from the metro station and major shopping malls, it is perfect for single occupants or young professionals. The apartment comes with maintenance included and provides easy access to all the amenities of central Doha. A compact yet comfortable living space in a vibrant neighborhood.","Metro Access, Maintenance Included",John Smith,+974 4444 1111,Active
18,Spacious Villa Compound,rent,Villa,18000,QAR/mo,Al Waab,4,5,350,assets/props-imgs/prop-id-6/main.jpg,"assets/props-imgs/prop-id-6/gallery1.jpg, assets/props-imgs/prop-id-6/gallery2.jpg, assets/props-imgs/prop-id-6/gallery3.jpg",TRUE,Family-friendly villa in a secure compound with excellent facilities.,"Perfect for families, this spacious four-bedroom villa is situated in a highly secure and peaceful compound in Al Waab. The property features large living areas, a private backyard, and access to top-notch compound facilities including a clubhouse, tennis courts, and dedicated play areas for children. Close to international schools and parks, this home offers a safe and engaging environment for kids.","Clubhouse, Tennis Court, Kids Play Area",Fatima Khalid,+974 5050 6789,Active
19,Luxury Villa in The Pearl,sale,Villa,5000000,QAR,"The Pearl, Doha",5,6,450,assets/props-imgs/prop-id-1/main.jpg,"assets/props-imgs/prop-id-1/gallery1.jpg, assets/props-imgs/prop-id-1/gallery2.jpg, assets/props-imgs/prop-id-1/gallery3.jpg",TRUE,Experience the epitome of luxury living in this stunning villa located in The Pearl.,"This stunning villa in The Pearl offers the finest in luxury living. With spacious interiors, a private swimming pool, and breathtaking views of the Arabian Gulf, this property is perfect for families seeking an exclusive lifestyle. The villa is finished with high-end materials and features a modern kitchen, large bedrooms with en-suite bathrooms, and a private landscaped garden.","Pool, Gym, Private Parking, Sea View",Ahmed Al-Saeed,+974 5555 1234,Active
20,Modern Apartment in Lusail,rent,Apartment,12000,QAR/mo,Lusail City,2,3,120,assets/props-imgs/prop-id-2/main.jpg,"assets/props-imgs/prop-id-2/gallery2.jpg, assets/props-imgs/prop-id-2/gallery1.jpg, assets/props-imgs/prop-id-2/gallery3.jpg",TRUE,A sleek and modern apartment in the heart of Lusail.,"Located in the rapidly growing Lusail City, this modern two-bedroom apartment offers urban living at its best. The unit features floor-to-ceiling windows, a contemporary open-plan layout, and a private balcony. Residents enjoy access to premium building facilities including a shared gym and covered parking. Perfect for professionals looking for a stylish home close to business hubs.","Concierge, Shared Gym, Covered Parking",Sarah Jones,+974 3333 9876,Active
21,Commercial Office in West Bay,rent,Commercial,25000,QAR/mo,"West Bay, Doha",0,2,200,assets/props-imgs/prop-id-3/main.jpg,"assets/props-imgs/prop-id-3/gallery3.jpg, assets/props-imgs/prop-id-3/gallery1.jpg, assets/props-imgs/prop-id-3/gallery2.jpg",FALSE,Premium office space in a high-rise tower in West Bay.,"This fully fitted commercial office space is located in a prestigious high-rise tower in the heart of West Bay, Doha's primary business district. With panoramic city views and 200 sqm of flexible workspace, it is ready for immediate move-in. The building offers 24/7 security, high-speed internet, and shared meeting rooms. An ideal location for established firms or growing businesses.","24/7 Security, High Speed Internet, Meeting Rooms",Mohammed Ali,+974 6666 4567,Active
22,Seaside Penthouse,sale,Apartment,3500000,QAR,Viva Bahriya,3,4,280,assets/props-imgs/prop-id-4/main.jpg,"assets/props-imgs/prop-id-4/gallery1.jpg, assets/props-imgs/prop-id-4/gallery2.jpg, assets/props-imgs/prop-id-4/gallery3.jpg",TRUE,Exclusive penthouse with direct beach access.,"Indulge in coastal luxury with this exclusive seaside penthouse in Viva Bahriya. The property features an expansive terrace with direct views of the ocean, a private elevator for ultimate privacy, and a state-of-the-art smart home system. With direct beach access and high-end finishes throughout, this penthouse represents a unique investment opportunity in one of Qatar's most sought-after locations.","Beach Access, Private Elevator, Smart Home System",Layla Hassan,+974 7777 2345,Active
23,Cozy Studio,rent,Apartment,6000,QAR/mo,Al Sadd,1,1,60,assets/props-imgs/prop-id-5/main.jpg,"assets/props-imgs/prop-id-5/gallery2.jpg, assets/props-imgs/prop-id-5/gallery1.jpg, assets/props-imgs/prop-id-5/gallery3.jpg",FALSE,Affordable and centrally located studio apartment.,"This cozy studio apartment in Al Sadd offers exceptional convenience and value. Located just minutes away from the metro station and major shopping malls, it is perfect for single occupants or young professionals. The apartment comes with maintenance included and provides easy access to all the amenities of central Doha. A compact yet comfortable living space in a vibrant neighborhood.","Metro Access, Maintenance Included",John Smith,+974 4444 1111,Active
24,Spacious Villa Compound,rent,Villa,18000,QAR/mo,Al Waab,4,5,350,assets/props-imgs/prop-id-6/main.jpg,"assets/props-imgs/prop-id-6/gallery1.jpg, assets/props-imgs/prop-id-6/gallery2.jpg, assets/props-imgs/prop-id-6/gallery3.jpg",TRUE,Family-friendly villa in a secure compound with excellent facilities.,"Perfect for families, this spacious four-bedroom villa is situated in a highly secure and peaceful compound in Al Waab. The property features large living areas, a private backyard, and access to top-notch compound facilities including a clubhouse, tennis courts, and dedicated play areas for children. Close to international schools and parks, this home offers a safe and engaging environment for kids.","Clubhouse, Tennis Court, Kids Play Area",Fatima Khalid,+974 5050 6789,Active
25,Luxury Villa in The Pearl,sale,Villa,5000000,QAR,"The Pearl, Doha",5,6,450,assets/props-imgs/prop-id-1/main.jpg,"assets/props-imgs/prop-id-1/gallery1.jpg, assets/props-imgs/prop-id-1/gallery2.jpg, assets/props-imgs/prop-id-1/gallery3.jpg",TRUE,Experience the epitome of luxury living in this stunning villa located in The Pearl.,"This stunning villa in The Pearl offers the finest in luxury living. With spacious interiors, a private swimming pool, and breathtaking views of the Arabian Gulf, this property is perfect for families seeking an exclusive lifestyle. The villa is finished with high-end materials and features a modern kitchen, large bedrooms with en-suite bathrooms, and a private landscaped garden.","Pool, Gym, Private Parking, Sea View",Ahmed Al-Saeed,+974 5555 1234,Active
26,Modern Apartment in Lusail,rent,Apartment,12000,QAR/mo,Lusail City,2,3,120,assets/props-imgs/prop-id-2/main.jpg,"assets/props-imgs/prop-id-2/gallery2.jpg, assets/props-imgs/prop-id-2/gallery1.jpg, assets/props-imgs/prop-id-2/gallery3.jpg",TRUE,A sleek and modern apartment in the heart of Lusail.,"Located in the rapidly growing Lusail City, this modern two-bedroom apartment offers urban living at its best. The unit features floor-to-ceiling windows, a contemporary open-plan layout, and a private balcony. Residents enjoy access to premium building facilities including a shared gym and covered parking. Perfect for professionals looking for a stylish home close to business hubs.","Concierge, Shared Gym, Covered Parking",Sarah Jones,+974 3333 9876,Active
27,Commercial Office in West Bay,rent,Commercial,25000,QAR/mo,"West Bay, Doha",0,2,200,assets/props-imgs/prop-id-3/main.jpg,"assets/props-imgs/prop-id-3/gallery3.jpg, assets/props-imgs/prop-id-3/gallery1.jpg, assets/props-imgs/prop-id-3/gallery2.jpg",FALSE,Premium office space in a high-rise tower in West Bay.,"This fully fitted commercial office space is located in a prestigious high-rise tower in the heart of West Bay, Doha's primary business district. With panoramic city views and 200 sqm of flexible workspace, it is ready for immediate move-in. The building offers 24/7 security, high-speed internet, and shared meeting rooms. An ideal location for established firms or growing businesses.","24/7 Security, High Speed Internet, Meeting Rooms",Mohammed Ali,+974 6666 4567,Active
28,Seaside Penthouse,sale,Apartment,3500000,QAR,Viva Bahriya,3,4,280,assets/props-imgs/prop-id-4/main.jpg,"assets/props-imgs/prop-id-4/gallery1.jpg, assets/props-imgs/prop-id-4/gallery2.jpg, assets/props-imgs/prop-id-4/gallery3.jpg",TRUE,Exclusive penthouse with direct beach access.,"Indulge in coastal luxury with this exclusive seaside penthouse in Viva Bahriya. The property features an expansive terrace with direct views of the ocean, a private elevator for ultimate privacy, and a state-of-the-art smart home system. With direct beach access and high-end finishes throughout, this penthouse represents a unique investment opportunity in one of Qatar's most sought-after locations.","Beach Access, Private Elevator, Smart Home System",Layla Hassan,+974 7777 2345,Deleted
29,Cozy Studio,rent,Apartment,6000,QAR/mo,Al Sadd,1,1,60,assets/props-imgs/prop-id-5/main.jpg,"assets/props-imgs/prop-id-5/gallery2.jpg, assets/props-imgs/prop-id-5/gallery1.jpg, assets/props-imgs/prop-id-5/gallery3.jpg",FALSE,Affordable and centrally located studio apartment.,"This cozy studio apartment in Al Sadd offers exceptional convenience and value. Located just minutes away from the metro station and major shopping malls, it is perfect for single occupants or young professionals. The apartment comes with maintenance included and provides easy access to all the amenities of central Doha. A compact yet comfortable living space in a vibrant neighborhood.","Metro Access, Maintenance Included",John Smith,+974 4444 1111,Active